20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,20,20,3,20,20,20,20
20,20,20,20,20,20,2,20,20,20,10,11,12,20,20,20,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,10,11,11,12,20,7,8,9,20,20,20,20,20,20,20,20,20,20,10,11,12,20,20,3,20,20,20,20,20,20
20,20,20,20,20,13,16,16,19,20,4,20,20,20,4,20,20,20,2,20,20,20,4,13,14,19,20,20,20,20,20,20,20,20,20
20,20,20,4,10,18,8,15,16,12,20,20,20,20,20,20,20,20,20,20,20,20,3,7,8,9,10,12,20,4,20,20,3,20,20
20,20,20,20,7,9,20,7,8,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7,9,20,20,20,20,20,20,20
20,20,20,20,20,20,4,20,20,5,20,20,20,20,20,20,20,20,20,4,20,20,20,20,20,20,20,20,20,20,5,20,20,20,20
20,20,20,20,20,20,20,20,5,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,4,20,20,20,5,20,20,20,20,20
20,20,20,20,4,20,20,20,20,20,4,20,5,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,3,20,20,20,20,20,10,12,4,10,11,11,11,11,11,12,20,20,20,20,20,20,20,20,20,20,20,20
20,20,2,20,20,20,3,20,20,20,20,10,11,14,18,11,18,18,18,18,18,18,19,20,20,20,20,1,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,13,18,18,18,18,18,18,18,18,18,18,18,12,20,20,20,20,20,20,10,11,12,20,20
20,20,20,20,20,20,20,20,20,20,1,13,18,18,18,18,18,18,18,15,16,18,18,19,1,20,20,20,20,20,13,15,19,20,20
20,20,20,20,20,20,20,20,20,20,10,18,18,18,18,16,18,18,18,18,15,18,18,19,20,20,20,20,20,20,7,18,19,20,20
20,20,3,20,20,20,20,20,20,20,13,18,18,18,16,16,18,18,15,18,18,18,18,18,12,20,20,20,20,4,20,7,9,20,20
20,20,20,20,20,20,20,20,20,10,18,18,18,18,18,18,18,18,18,15,18,18,15,14,19,20,3,20,20,20,20,20,20,20,20
5,5,20,20,20,4,20,20,20,7,18,15,14,18,18,18,18,18,18,18,18,18,18,14,19,20,20,20,20,20,20,4,20,20,20
20,5,5,5,20,20,20,20,20,20,13,18,18,18,18,15,16,18,18,18,14,18,18,18,19,3,20,20,20,20,20,20,20,20,20
20,5,20,5,20,20,20,20,2,20,13,18,18,18,15,15,18,15,18,18,18,18,18,18,19,20,20,3,20,20,20,20,20,20,20
20,5,5,5,5,20,20,20,20,20,7,18,18,18,18,15,18,18,18,18,18,15,18,18,9,20,3,20,2,20,20,20,20,20,2
20,20,5,5,1,20,20,20,1,1,20,13,18,18,18,18,18,18,18,18,18,18,18,19,20,20,20,20,20,20,20,20,20,2,20
20,20,5,1,5,5,20,20,20,20,20,7,18,18,15,18,18,18,14,18,18,8,8,9,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,1,20,20,20,20,20,1,7,8,14,15,18,8,8,8,9,20,20,20,20,20,20,20,20,20,20,4,20,20,20
20,5,20,20,20,20,20,20,1,20,20,20,20,20,13,18,19,20,4,20,20,20,4,20,20,20,20,5,20,20,20,20,20,20,20
20,20,20,20,4,20,20,3,20,20,3,20,20,20,7,8,9,20,20,20,4,20,20,20,20,20,20,20,6,20,20,20,20,20,20
20,20,20,20,20,3,10,11,12,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,5,20,20,20,20,20,20,20,20,20
20,4,20,20,10,11,18,15,19,20,20,3,20,20,20,20,20,20,20,20,20,20,20,20,5,5,6,5,20,20,20,3,20,4,20
20,20,20,20,13,15,15,16,15,12,20,20,20,4,20,20,20,20,20,20,20,20,20,20,20,5,20,20,20,4,20,20,20,20,20
20,20,20,1,7,15,16,15,16,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5,20,20,20,20,20,20
20,20,5,20,20,7,15,15,9,20,4,20,20,5,20,6,20,20,20,20,20,20,20,20,20,4,20,20,20,20,20,20,20,20,20
20,20,20,5,5,20,7,9,20,20,20,20,20,20,6,20,20,4,20,20,20,20,20,20,20,20,20,20,20,20,4,20,20,20,20
20,2,20,5,20,5,20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,20,20,4,20,20,20,20,1,20
20,20,2,20,5,20,20,5,20,20,20,5,20,20,20,20,20,20,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
