1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,1,1,60,1,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,59,1,1,1,1,1,58,59,1,4,1,1,1,1,18,19,19,20,1,1,1,1,1,1,1,1,1,3
1,1,1,1,1,1,1,1,2,1,1,1,1,18,20,1,1,1,58,1,58,1,1,1,58,1,1,1,1,18,19,14,7,7,13,19,19,19,20,1,1,1,1,3,1
1,3,1,1,1,1,1,1,1,1,1,1,1,6,13,20,1,1,60,3,59,58,1,1,1,1,1,1,4,6,7,7,12,7,7,7,7,7,17,1,1,1,1,1,1
1,1,1,18,19,19,19,20,1,1,1,1,1,21,22,23,1,4,1,1,58,59,1,3,3,1,1,1,18,14,7,7,7,7,7,10,7,7,13,19,19,20,1,1,1
1,1,1,6,12,7,8,13,19,20,1,1,1,1,1,1,1,1,1,58,58,1,1,58,1,1,1,1,6,7,7,7,7,7,7,7,7,10,7,7,15,23,1,1,1
1,18,19,14,8,7,7,7,7,17,1,1,1,1,1,1,58,1,1,1,1,1,1,1,1,1,1,1,21,22,16,7,8,7,7,7,7,11,7,7,17,5,1,1,1
1,6,12,10,7,11,7,7,15,23,1,1,1,1,1,1,1,1,1,1,3,58,1,58,1,1,1,1,1,1,6,7,7,7,7,7,7,7,7,7,13,20,1,3,1
1,21,16,12,7,10,7,7,13,20,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,22,22,16,7,11,7,7,7,12,7,17,1,1,1
1,1,6,7,7,7,15,22,22,23,1,1,1,1,1,1,1,31,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,8,7,7,7,17,1,1,1
1,1,6,7,7,8,17,1,1,1,1,1,1,1,1,1,29,48,49,30,1,1,1,1,3,18,19,20,1,1,1,1,1,6,7,7,7,7,7,8,7,17,1,1,1
1,1,21,22,22,22,23,1,1,1,1,1,1,58,1,26,46,41,41,42,27,1,1,1,1,6,11,13,20,1,1,1,1,21,22,16,7,12,7,7,7,17,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,41,41,36,1,1,1,5,1,21,22,22,23,1,1,1,1,1,1,6,7,7,7,15,22,23,1,1,59
1,1,1,58,1,1,1,1,58,1,5,1,58,1,1,1,1,39,39,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,21,22,22,22,23,2,1,1,1,1
1,58,1,1,1,1,1,1,1,1,58,60,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,59,1
1,58,1,1,1,1,1,1,1,1,1,59,58,58,1,59,1,3,1,1,2,1,1,1,31,31,31,1,1,1,1,1,1,1,1,1,1,1,1,1,58,60,58,1,1
1,1,1,18,19,19,19,20,1,1,1,1,1,1,3,1,1,1,1,1,31,31,31,29,43,43,43,30,31,31,1,1,5,1,1,1,4,1,3,1,58,1,1,60,59
1,1,18,14,7,7,7,17,1,1,1,1,1,60,59,1,1,1,1,29,43,43,43,46,41,41,41,42,43,43,30,31,31,31,2,1,1,1,1,1,1,1,1,58,1
1,1,21,16,7,8,7,13,19,20,1,1,1,1,60,1,1,1,26,46,41,41,41,41,41,41,41,41,41,41,42,43,43,43,30,2,1,1,2,1,1,1,1,1,1
1,1,1,6,7,7,7,7,12,17,1,1,1,1,1,1,1,1,24,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,33,31,1,1,1,29,30,1,1,1
1,59,1,21,22,16,7,7,7,13,19,20,1,1,1,1,1,1,24,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,55,43,30,1,1,35,36,1,1,1
1,1,58,1,1,21,22,16,7,11,7,17,1,1,1,1,1,1,24,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,30,1,1,1,1,4,1
1,1,1,1,1,1,1,6,7,7,15,23,1,1,1,1,3,1,24,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,30,1,1,1,1,3
1,58,1,59,1,1,1,21,22,22,23,5,1,1,1,1,1,4,1,35,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,30,1,1,1,1
1,58,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,35,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,27,1,1,1
1,59,1,60,58,1,5,1,1,58,1,1,1,1,1,1,3,1,1,1,1,35,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,25,1,1,1
59,58,60,58,59,1,1,1,59,1,1,1,3,1,1,1,1,1,1,1,1,1,39,39,35,41,41,41,41,41,41,41,41,41,36,39,35,41,41,41,41,25,58,1,1
